0.000000       0.0000012
0.001253       0.0005415
0.002506       0.0011424
0.003759       0.0017184
0.005013       0.0023114
0.006266       0.0028754
0.007519       0.0034120
0.008772       0.0039765
0.010025       0.0045612
0.011278       0.0051300
0.012531       0.0057281
0.013784       0.0062781
0.015038       0.0068514
0.016291       0.0074345
0.017544       0.0080237
0.018797       0.0086163
0.020050       0.0091854
0.021303       0.0097655
0.022556       0.0103225
0.023810       0.0108926
0.025063       0.0114853
0.026316       0.0120695
0.027569       0.0126353
0.028822       0.0132311
0.030075       0.0137787
0.031328       0.0143672
0.032581       0.0149665
0.033835       0.0155463
0.035088       0.0161091
0.036341       0.0167090
0.037594       0.0172883
0.038847       0.0178583
0.040100       0.0184543
0.041353       0.0190658
0.042607       0.0196646
0.043860       0.0202637
0.045113       0.0208442
0.046366       0.0214604
0.047619       0.0220537
0.048872       0.0226591
0.050125       0.0232432
0.051378       0.0238427
0.052632       0.0244603
0.053885       0.0250802
0.055138       0.0256827
0.056391       0.0262804
0.057644       0.0269171
0.058897       0.0275323
0.060150       0.0281393
0.061404       0.0287348
0.062657       0.0293496
0.063910       0.0299839
0.065163       0.0306043
0.066416       0.0311900
0.067669       0.0318340
0.068922       0.0324445
0.070175       0.0330461
0.071429       0.0336630
0.072682       0.0342596
0.073935       0.0349054
0.075188       0.0355083
0.076441       0.0361220
0.077694       0.0367375
0.078947       0.0373986
0.080201       0.0379903
0.081454       0.0386147
0.082707       0.0392382
0.083960       0.0398656
0.085213       0.0405309
0.086466       0.0411517
0.087719       0.0417764
0.088972       0.0423996
0.090226       0.0430532
0.091479       0.0437210
0.092732       0.0443547
0.093985       0.0449880
0.095238       0.0456413
0.096491       0.0462867
0.097744       0.0469171
0.098997       0.0475761
0.100251       0.0482284
0.101504       0.0489115
0.102757       0.0495564
0.104010       0.0502010
0.105263       0.0508827
0.106516       0.0515484
0.107769       0.0522188
0.109023       0.0528779
0.110276       0.0535952
0.111529       0.0542467
0.112782       0.0549248
0.114035       0.0556106
0.115288       0.0562959
0.116541       0.0570408
0.117794       0.0577124
0.119048       0.0584155
0.120301       0.0591183
0.121554       0.0598280
0.122807       0.0605257
0.124060       0.0612684
0.125313       0.0619801
0.126566       0.0626751
0.127820       0.0634093
0.129073       0.0641139
0.130326       0.0648691
0.131579       0.0655767
0.132832       0.0663066
0.134085       0.0670816
0.135338       0.0678128
0.136591       0.0685897
0.137845       0.0693216
0.139098       0.0700858
0.140351       0.0708267
0.141604       0.0715620
0.142857       0.0723521
0.144110       0.0730964
0.145363       0.0738825
0.146617       0.0746833
0.147870       0.0754669
0.149123       0.0762191
0.150376       0.0770510
0.151629       0.0778114
0.152882       0.0785902
0.154135       0.0794006
0.155388       0.0802037
0.156642       0.0810368
0.157895       0.0818048
0.159148       0.0826171
0.160401       0.0834516
0.161654       0.0842451
0.162907       0.0850503
0.164160       0.0859245
0.165414       0.0867303
0.166667       0.0875820
0.167920       0.0884526
0.169173       0.0892605
0.170426       0.0901077
0.171679       0.0909761
0.172932       0.0918636
0.174185       0.0927450
0.175439       0.0935489
0.176692       0.0944869
0.177945       0.0953313
0.179198       0.0961906
0.180451       0.0970975
0.181704       0.0979823
0.182957       0.0988849
0.184211       0.0997196
0.185464       0.1006701
0.186717       0.1015879
0.187970       0.1024677
0.189223       0.1033845
0.190476       0.1043230
0.191729       0.1052692
0.192982       0.1061882
0.194236       0.1070930
0.195489       0.1080535
0.196742       0.1089895
0.197995       0.1099690
0.199248       0.1109139
0.200501       0.1118583
0.201754       0.1128261
0.203008       0.1138108
0.204261       0.1148018
0.205514       0.1157800
0.206767       0.1167694
0.208020       0.1177543
0.209273       0.1187322
0.210526       0.1198056
0.211779       0.1208144
0.213033       0.1218308
0.214286       0.1228857
0.215539       0.1239044
0.216792       0.1249518
0.218045       0.1260614
0.219298       0.1271145
0.220551       0.1281903
0.221805       0.1293116
0.223058       0.1303655
0.224311       0.1314553
0.225564       0.1325789
0.226817       0.1336948
0.228070       0.1347834
0.229323       0.1359167
0.230576       0.1370831
0.231830       0.1381968
0.233083       0.1393589
0.234336       0.1405234
0.235589       0.1416959
0.236842       0.1428630
0.238095       0.1440891
0.239348       0.1452950
0.240602       0.1464948
0.241855       0.1476884
0.243108       0.1489607
0.244361       0.1501539
0.245614       0.1514288
0.246867       0.1527095
0.248120       0.1539530
0.249373       0.1552682
0.250627       0.1565451
0.251880       0.1578616
0.253133       0.1591659
0.254386       0.1604989
0.255639       0.1618196
0.256892       0.1631927
0.258145       0.1645560
0.259398       0.1659075
0.260652       0.1672793
0.261905       0.1686957
0.263158       0.1701271
0.264411       0.1715966
0.265664       0.1729886
0.266917       0.1744622
0.268170       0.1759043
0.269424       0.1774236
0.270677       0.1788713
0.271930       0.1803864
0.273183       0.1819322
0.274436       0.1834429
0.275689       0.1849729
0.276942       0.1865728
0.278195       0.1880862
0.279449       0.1897273
0.280702       0.1913379
0.281955       0.1929463
0.283208       0.1945534
0.284461       0.1962263
0.285714       0.1979182
0.286967       0.1996709
0.288221       0.2013023
0.289474       0.2030079
0.290727       0.2047536
0.291980       0.2064859
0.293233       0.2082345
0.294486       0.2100063
0.295739       0.2118389
0.296992       0.2136605
0.298246       0.2154935
0.299499       0.2173366
0.300752       0.2192282
0.302005       0.2211190
0.303258       0.2230202
0.304511       0.2249533
0.305764       0.2268666
0.307018       0.2288435
0.308271       0.2308494
0.309524       0.2328569
0.310777       0.2348823
0.312030       0.2369402
0.313283       0.2390787
0.314536       0.2410897
0.315789       0.2431807
0.317043       0.2453096
